review,rating,place_index
"Địa điểm quen thuộc của Mẹ Con tớ :)",5,0
"Ngon",5,0
"Ngon nhanh gon lẹ",5,0
"Ngon",5,0
"Đồ ăn ngon",5,0
"Hết gà quá sớm !",5,0
"Ngon",5,0
"ok phục vụ đàng hoàng",4,0
"Thức nóng, giòn, ngonn",5,0
"Rất tốt",5,0
"Ngon",5,0
"Đóng cửa vì dịch COVID",4,0
"Ngon",5,0
"Cô ấy thật quyến rũ và hấp dẫn khiến tôi không thể rời mắt khỏi cô ấy😍.",5,0
"Nhân viên rất hữu ích. Đồ ăn nóng",5,0
"Okiii thôi nào",5,0
"Được rồi",5,0
"Ngonnnnn",5,0
"ĐẾN",5,0
"được rồi mất đi",4,0
"Ngonnnnn",5,0
"Họ nên có nước sốt trong máy bơm chứ không phải sốt cà chua.",5,0
"Được rồi",3,0
"Thời gian chờ đợi luôn dài",5,0
"Được rồi",2,0
"ĐẾN",5,0
"Tốt!",5,0
"Được rồi",4,0
"Quán làm đồ ăn lâu, lúc mình order là khách có 2-3 người thôi, quán kêu đợi quán 7p là có món xong mình đi mua đồ, đi đổ xăng, đi vòng vòng quay lại thì quán kêu còn 6p nữa là có món nha chị 😀???",3,1
"Nhân viên nhiệt tình, gà giòn ngon. Không gian mát mẻ",5,1
"Mình có gọi combo 2 ng và trong hình có khoai tây nghiền và salad trộn, khu nvien tư vấn bảo có muốn đổi saladvthanhf kt chiên ko mình đồng ý. Rồi hồi lại bảo đổi là cả phần kt nghiền luôn, tư vấn tệ ko nói rõ Quán mở ngạc khá lớn",3,1
"Tương cà bên kfc vẫn đặc trưng như hồi bé hay ăn. Không gian oke, có máy order tự động, vỉa hè để xe rộng. Lần đầu ăn thử Mì ý, rất dở =)))) sợi cứng, sốt ít, mà cái vị của sốt cx rất kì. Hơi thất vọng",4,1
"Quán sạch sẽ đồ ăn ngon đặc biệt có bạn nữ kia xinh quá hình như tên Quỳnh Như",5,1
"Nhà hàng thoáng mát, chỗ xu xe rộng, chú bảo vệ dễ thương, nhân viẻn thân thiện giá cả ok , nhiều ctrkm",5,1
"Thức ăn ngon, nóng giòn. Nv nhiệt tình, order tận tâm",5,1
"Nhà sàng sạch sẽ thoáng mát  bảo vệ để thương, NV rất thân thiện  tuyệt món ngon",5,1
"Đồ ăn ngon nhân vien nhiet tinh qly de thuong",5,1
"Nhân viên dễ thương, phục vụ nhiệt tình",5,1
